Model,Test Accuracy,Macro F1
Custom CNN,0.6778443113772455,0.6250614688573853
EfficientNetB0 (frozen),0.7916167378425598,0.7624798349988171
EfficientNetB0 (fine-tuned),0.8071856498718262,0.7871211928766982
ResNet50 (frozen),0.7868263721466064,0.747932641297904
ResNet50 (fine-tuned),0.8275449275970459,0.8171585263553806
